,location,society,total_sqft,bath,balcony,price,bedrooms
189,Marathahalli,VRave E,1200.0,2.0,2.0,52.0,2
191,Pattandur Agrahara,MaidoPl,1550.0,2.0,3.0,80.0,3
194,Marathahalli,Aiitya ,1200.0,2.0,2.0,60.0,2
195,Yelahanka,PuziaVe,1327.0,2.0,2.0,98.0,2
198,HSR Layout,NRosete,1400.0,3.0,2.0,56.0,3
202,Whitefield,Sancya ,1225.0,2.0,2.0,47.6,2
204,Kadugodi,MSingco,1260.0,2.0,2.0,54.0,3
205,Yelahanka,Pyikad ,1282.0,2.0,2.0,48.7,3
206,other,CaIRSCr,1909.0,3.0,2.0,88.0,3
207,Panathur,Prcesvy,1359.0,2.0,1.0,87.0,2
211,Kammasandra,Emstael,1595.0,3.0,2.0,65.0,3
213,Electronics City Phase 1,SNdri N,1475.0,3.0,2.0,78.29,3
214,other,HodhiSa,1580.0,3.0,3.0,100.0,3
215,Dasarahalli,Syonyph,1295.0,2.0,1.0,65.0,2
217,Electronic City,Itvir M,589.0,1.0,1.0,27.0,1
219,Sarjapur  Road,Klark L,1787.0,3.0,2.0,98.29,3
220,Sarjapur  Road,Klark L,1787.0,3.0,2.0,125.0,3
221,Koramangala,Piityra,1475.0,2.0,3.0,90.0,3
223,Sarjapur  Road,AsastDe,984.0,2.0,1.0,44.28,2
225,other,MacleK ,2405.0,4.0,2.0,260.0,3
226,7th Phase JP Nagar,Brnia G,1080.0,2.0,2.0,72.0,2
230,Budigere,PrityTr,1153.0,2.0,2.0,56.4,2
231,other,AlEcone,1148.0,2.0,2.0,60.0,2
232,other,Laowsba,1110.0,2.0,2.0,55.0,2
233,Electronic City,Saave R,1100.0,2.0,2.0,42.0,2
234,Kalyan nagar,Anave S,1290.0,2.0,2.0,110.0,2
237,Vijayanagar,Saityat,1933.0,3.0,1.0,129.0,3
240,Chandapura,SunceEs,645.0,1.0,1.0,16.45,1
242,Chandapura,SunceEs,645.0,1.0,1.0,16.45,1
243,other,SJcerpe,1644.0,3.0,3.0,84.0,3
244,other,Supams ,1285.0,2.0,3.0,72.5,2
246,Electronic City,CoapeSo,910.0,2.0,1.0,40.0,2
247,Kothanur,Bisic C,1577.0,3.0,1.0,70.0,3
248,other,Sreat R,4050.0,3.0,2.0,280.0,3
249,other,Inntsa ,2420.0,3.0,2.0,185.0,3
250,Chandapura,KHityry,800.0,1.0,1.0,20.0,2
252,7th Phase JP Nagar,BriumMi,1270.0,2.0,2.0,93.0,2
257,Electronic City,Prarkun,1108.0,2.0,1.0,63.0,2
259,other,Calyxy ,3045.0,3.0,2.0,170.0,3
260,Ambedkar Nagar,Thessrm,2900.0,3.0,2.0,300.0,4
261,Vijayanagar,JJortom,1500.0,3.0,2.0,75.5,3
262,Raja Rajeshwari Nagar,GrrvaGr,1295.0,2.0,2.0,43.9,2
263,Budigere,PrityTr,1162.0,2.0,1.0,59.9,2
264,Sarjapur  Road,Usquaya,1035.0,2.0,2.0,49.2,2
265,Attibele,Natic T,1600.0,4.0,0.0,52.8,4
267,Hennur Road,DSapeSk,1866.0,2.0,2.0,61.58,3
268,other,Jahtsa ,700.0,1.0,1.0,26.0,2
269,Kalena Agrahara,Prillot,1804.0,3.0,2.0,120.0,3
271,Talaghattapura,Sodgere,1868.0,3.0,2.0,131.0,3
275,Hegde Nagar,SoitaCa,2026.0,3.0,2.0,132.0,3
276,Balagere,Soestin,1210.0,2.0,1.0,80.9,2
277,other,Sreat R,4111.0,4.0,2.0,250.0,4
278,Kadugodi,Alestrb,1762.0,3.0,3.0,91.45,3
279,Jigani,DLhtsen,1252.0,3.0,3.0,55.0,3
280,Gollarapalya Hosahalli,Mauner ,861.0,2.0,1.0,34.5,2
281,7th Phase JP Nagar,Brnia G,1420.0,2.0,1.0,100.0,3
283,Electronics City Phase 1,GaicaVe,1490.0,3.0,1.0,78.8,3
285,Old Madras Road,Saesttt,1425.0,2.0,2.0,94.0,3
286,Kalena Agrahara,Nae 2El,1200.0,2.0,1.0,40.0,2
288,other,Bhinglv,1084.0,2.0,2.0,50.0,2
289,Chandapura,SunceEs,1015.0,2.0,2.0,25.88,2
290,Kanakpura Road,GolusLi,1017.0,2.0,1.0,51.25,2
292,Electronic City Phase II,Coush W,1069.0,2.0,2.0,45.0,2
293,Hebbal,Prersis,1349.0,2.0,1.0,98.2,2
294,9th Phase JP Nagar,NaensGa,1005.0,2.0,1.0,50.0,2
295,Jakkur,Arzzo P,1417.0,2.0,3.0,75.0,2
297,other,SMikaay,950.0,2.0,2.0,47.0,2
298,other,Prave E,2000.0,4.0,0.0,120.0,4
300,Sarjapur  Road,Ahriaup,1863.0,3.0,2.0,104.0,4
301,other,Priewhi,1010.0,2.0,1.0,29.5,2
302,Kalena Agrahara,Shodsth,1425.0,2.0,1.0,70.0,3
303,Vijayanagar,Swadeh ,1450.0,3.0,0.0,100.0,3
304,Kothanur,Somumys,1847.0,3.0,2.0,105.0,3
305,AECS Layout,Soran U,1100.0,2.0,3.0,45.0,2
306,Kanakpura Road,PrarePa,525.0,1.0,1.0,26.0,1
307,other,Puestig,1665.0,3.0,2.0,95.0,3
308,Begur,Prntsrt,1664.0,4.0,3.0,65.0,4
309,JP Nagar,Maerar ,1850.0,3.0,3.0,150.0,3
310,Panathur,Vaesh T,1438.0,2.0,3.0,100.0,2
311,other,MaisePa,1560.0,3.0,3.0,115.0,3
313,Kanakpura Road,JRrnauv,1550.0,3.0,3.0,67.0,3
317,Whitefield,Gotis A,1280.0,2.0,2.0,75.0,2
319,other,Puodse ,1113.0,2.0,1.0,51.0,2
320,Hennur Road,Mileeou,1385.0,2.0,1.0,83.09,2
321,Electronic City,Prarkun,1128.0,2.0,1.0,65.0,2
324,Rajaji Nagar,PhestOn,2390.0,3.0,2.0,415.0,3
326,Haralur Road,NRowse ,1464.0,3.0,2.0,56.0,3
328,other,Abncy R,1200.0,2.0,2.0,52.0,2
329,Kaggalipura,Baowsig,1150.0,2.0,1.0,55.0,3
330,other,Itala A,1645.0,3.0,2.0,95.0,3
333,other,HMinebo,1192.0,2.0,2.0,74.0,2
334,other,K borja,2135.0,3.0,2.0,215.0,3
335,Whitefield,Oreldhi,1173.0,2.0,1.0,58.0,2
336,Uttarahalli,Sungspr,1020.0,2.0,2.0,45.0,2
337,Thigalarapalya,Prtanha,3122.0,6.0,2.0,230.0,4
341,other,Clntsrt,1250.0,2.0,2.0,40.0,2
342,Kalena Agrahara,PuamaPa,1325.0,2.0,2.0,76.0,2
343,7th Phase JP Nagar,Brngsal,1850.0,3.0,1.0,150.0,3
347,Bommasandra,SSestth,1260.0,3.0,1.0,49.36,3
348,other,Vancy R,1800.0,3.0,0.0,150.0,3
350,Ardendale,Miwel M,1100.0,2.0,1.0,43.25,2
351,Harlur,SrEndPo,1508.0,2.0,1.0,77.0,2
352,other,Puens G,1592.0,3.0,2.0,75.0,3
353,Akshaya Nagar,SagasSa,1388.0,2.0,3.0,57.0,2
354,Electronic City Phase II,SNbay G,630.0,1.0,1.0,28.35,1
358,Kodihalli,Soianal,3252.0,5.0,3.0,335.0,4
359,Magadi Road,Vrenty ,1116.0,2.0,1.0,50.0,2
360,other,AriosHe,1308.0,2.0,2.0,89.04,2
364,Hennur,SLureSi,1075.0,2.0,1.0,52.0,2
365,Chandapura,Siissi ,530.0,1.0,0.0,11.66,1
367,5th Phase JP Nagar,Mangsr ,1075.0,2.0,2.0,60.0,2
368,KR Puram,HovasTe,930.0,2.0,2.0,39.0,2
369,Balagere,Exncene,1380.0,2.0,1.0,60.0,2
370,Hebbal,Prersis,2483.0,5.0,2.0,212.0,4
371,other,Shyas S,1166.0,2.0,2.0,55.0,2
372,Bannerghatta Road,NadelCi,1050.0,2.0,1.0,65.0,2
373,other,Sothadr,2023.71,3.0,2.0,275.0,3
374,Begur Road,Dhalsh ,1200.0,2.0,2.0,46.8,2
375,Lakshminarayana Pura,Puarent,1600.0,2.0,1.0,108.0,3
376,Billekahalli,MaionPa,1935.0,3.0,2.0,110.0,3
377,8th Phase JP Nagar,Maian M,451.0,1.0,0.0,29.9,1
378,Electronic City,ShstaAl,1800.0,3.0,2.0,95.0,3
379,Jalahalli,Shard T,1400.0,3.0,0.0,77.0,3
380,Hegde Nagar,SoitaCa,1801.0,3.0,2.0,115.0,3
383,Begur Road,Dhalsh ,1160.0,2.0,2.0,44.0,2
385,Kanakpura Road,Wiowsri,950.0,2.0,1.0,40.0,2
388,Vijayanagar,Saityat,1826.0,3.0,2.0,121.0,3
389,7th Phase JP Nagar,Eladero,1245.0,2.0,1.0,94.0,2
390,Raja Rajeshwari Nagar,Lancyey,1145.0,2.0,2.0,45.79,2
391,other,Suiseit,825.0,2.0,1.0,33.0,2
392,Yeshwanthpur,Aroomba,1693.0,3.0,3.0,108.0,3
393,Electronics City Phase 1,Courf T,1113.27,2.0,2.0,53.0,2
394,other,VMowsea,1460.0,2.0,1.0,58.0,2
395,Doddathoguru,S onsMa,1050.0,2.0,1.0,32.0,2
396,Dodda Nekkundi,Tuentpa,1260.0,2.0,2.0,55.0,2
398,Hosur Road,Tovesee,1656.0,2.0,1.0,120.0,2
399,Chandapura,Vailsaf,1208.0,3.0,1.0,45.0,3
400,Whitefield,BrlisCo,1910.0,3.0,2.0,161.0,3
401,Whitefield,Haestt ,3252.0,4.0,1.0,230.0,4
404,7th Phase JP Nagar,BriumMi,1175.0,2.0,1.0,82.0,2
407,Rajaji Nagar,PhestOn,2390.0,3.0,2.0,410.0,3
412,Kengeri,VBvenal,750.0,2.0,1.0,38.0,2
414,Kanakpura Road,JRrnauv,1550.0,3.0,3.0,64.5,3
415,other,Hoeatan,1760.0,3.0,2.0,88.0,3
416,Billekahalli,Asity S,1125.0,2.0,2.0,62.0,2
421,Budigere,PrityTr,1991.0,4.0,2.0,103.0,3
422,Bommasandra,DSoodil,1060.0,2.0,1.0,26.5,2
423,Ambalipura,SJarkte,1105.0,2.0,1.0,75.0,2
424,Hoodi,Dhgraas,985.0,2.0,2.0,67.0,2
426,Balagere,HiqueMa,1590.0,3.0,2.0,79.0,3
427,CV Raman Nagar,Srshq T,1120.0,2.0,2.0,55.0,2
428,other,SPontna,1069.0,2.0,1.0,55.0,2
429,Marathahalli,Prionad,1933.0,3.0,2.0,140.0,3
430,Hosur Road,PuendWe,1194.0,2.0,0.0,69.0,2
431,Brookefield,Danna S,1150.0,2.0,3.0,69.0,2
433,Raja Rajeshwari Nagar,GrrvaGr,1419.0,2.0,2.0,48.1,2
436,other,MSanaer,1450.0,3.0,2.0,55.0,3
437,other,Plowsri,1630.0,3.0,2.0,68.29,3
438,Dasanapura,Tavenew,708.0,1.0,1.0,40.0,2
441,Bellandur,Ocavees,1250.0,2.0,1.0,76.0,2
442,7th Phase JP Nagar,Brnia G,1400.0,2.0,1.0,95.0,3
444,Ardendale,SoystAm,1750.0,3.0,2.0,100.0,3
445,Vittasandra,Prlla C,1404.0,2.0,1.0,71.0,2
446,Hoodi,SMaxyay,1715.0,2.0,2.0,95.0,3
447,Electronic City,Prarkun,630.0,1.0,1.0,34.65,1
448,Harlur,SosicCl,1752.12,3.0,2.0,135.0,3
450,Raja Rajeshwari Nagar,GrrvaGr,1295.0,2.0,1.0,55.47,2
451,other,Bancyri,1800.0,3.0,2.0,252.0,3
452,Sarjapur  Road,PualeSk,1346.0,2.0,1.0,74.03,2
454,Hormavu,ElavuHo,1150.0,2.0,2.0,55.0,2
455,other,Gontyol,3309.0,4.0,3.0,325.0,4
456,Chandapura,SunceEs,1190.0,2.0,2.0,30.35,3
457,AECS Layout,DSutyng,1620.0,3.0,2.0,98.0,3
459,other,Bancyri,5000.0,9.0,3.0,360.0,11
460,Harlur,SrEndPo,2450.0,3.0,0.0,120.0,3
461,Electronic City Phase II,Sryalan,1220.0,2.0,1.0,35.23,3
462,other,RKntsrt,850.0,2.0,1.0,30.0,2
465,other,Vantspa,1150.0,2.0,2.0,126.0,2
466,Hebbal,Mahosya,1760.0,2.0,2.0,130.0,3
471,other,Prowsi ,900.0,2.0,1.0,40.0,2
473,Whitefield,SMuilan,1130.0,2.0,1.0,42.16,2
474,Koramangala,Proodt ,1320.0,2.0,1.0,165.0,2
476,other,Sryamar,1200.0,2.0,1.0,62.0,2
479,Subramanyapura,Prldsri,929.0,2.0,0.0,50.17,2
488,Hebbal Kempapura,Vrensn ,1130.0,2.0,2.0,60.0,2
489,other,VDdonel,1753.0,3.0,2.0,120.0,3
490,Old Madras Road,Brica E,4500.0,7.0,3.0,337.0,5
492,Hoodi,GoAirej,1196.0,2.0,2.0,94.42,2
493,5th Phase JP Nagar,Prenty ,1150.0,3.0,3.0,52.5,2
494,Electronic City,Prarkun,1128.0,2.0,1.0,63.0,2
495,other,Shinei ,1000.0,2.0,1.0,53.0,2
496,Yelahanka,Apows M,1035.0,2.0,1.0,45.0,2
498,Bisuvanahalli,Prityel,1075.0,2.0,1.0,36.0,3
499,Whitefield,SVineun,1040.0,2.0,1.0,48.5,2
501,Lingadheeranahalli,Soiewre,1511.0,3.0,1.0,95.0,3
503,Hoodi,Caycend,1545.0,3.0,1.0,68.75,3
507,JP Nagar,DSvvyx ,1000.0,2.0,1.0,35.0,2
508,Kambipura,Prrtht ,883.0,2.0,1.0,45.0,2
509,Sarjapur  Road,Brareio,1195.0,2.0,1.0,70.0,2
512,Vittasandra,Prlla C,1246.0,2.0,1.0,67.0,2
516,Haralur Road,SNnia E,2805.0,5.0,3.0,154.0,4
521,other,OlarkLa,1353.0,2.0,2.0,110.0,2
522,Electronic City,Prarkun,1599.0,3.0,2.0,125.0,3
523,Whitefield,SuMTBPr,1150.0,2.0,1.0,70.0,2
524,Jakkur,Lecco C,5230.0,6.0,1.0,465.0,4
525,KR Puram,Jahidva,1155.0,2.0,2.0,42.74,2
529,Rajiv Nagar,PuoodSk,1867.0,3.0,1.0,160.0,3
530,Ramagondanahalli,ViistLa,1251.0,2.0,1.0,47.0,2
531,other,Arano M,1028.0,2.0,1.0,45.5,2
532,other,Amngsag,1222.0,2.0,2.0,45.0,2
533,Bannerghatta Road,SNity S,1170.0,2.0,1.0,66.0,3
534,Hebbal,Kacesh ,2400.0,4.0,1.0,245.0,3
536,HSR Layout,SrisePo,1372.0,2.0,1.0,68.0,2
537,Magadi Road,Bilya A,1282.0,2.0,2.0,49.0,3
538,other,Amsomun,5000.0,9.0,3.0,210.0,9
540,Kanakpura Road,Shdhia ,1135.0,2.0,1.0,39.73,2
542,other,Foconna,1325.0,2.0,1.0,90.0,3
543,Electronic City,Prarkun,1599.0,3.0,2.0,99.0,3
549,Hennur Road,Shxorm ,1317.5,2.0,0.0,63.77,2
550,Hebbal,Brium C,3450.0,5.0,2.0,260.0,3
551,Munnekollal,Sadhii ,1102.0,2.0,2.0,53.67,2
552,Yelahanka,Sahanra,1350.0,2.0,2.0,54.0,2
557,Kanakpura Road,PrarePa,525.0,1.0,1.0,27.25,1
558,Attibele,Jae 2hu,656.0,2.0,1.0,25.0,2
560,other,Icncy R,1056.0,2.0,1.0,80.0,2
561,Bannerghatta Road,Hiatei ,595.0,1.0,1.0,33.32,1
563,7th Phase JP Nagar,Puarero,2225.0,3.0,1.0,160.0,3
564,Bommasandra,DSoodil,1126.0,2.0,1.0,28.15,2
565,Electronics City Phase 1,GaicaVe,1490.0,3.0,1.0,84.0,3
567,Sarjapur  Road,PuineSu,1550.0,3.0,3.0,100.0,3
570,Whitefield,PrOakSi,4144.0,4.0,3.0,315.0,4
571,Sarjapur  Road,Supleon,2100.0,3.0,2.0,125.0,3
572,Vittasandra,Prlla C,1404.0,2.0,1.0,69.3,2
573,Sarjapur  Road,LGestbo,2230.0,4.0,3.0,225.0,4
575,other,Pridsi ,1305.0,2.0,1.0,58.7,3
576,Marathahalli,Aahts H,1230.0,2.0,2.0,80.0,2
582,Hormavu,Kolisl ,715.0,1.0,2.0,46.0,1
583,Whitefield,Toindls,2500.0,3.0,2.0,313.0,3
584,other,Puceswn,1578.0,3.0,1.0,180.0,3
586,Jigani,i1odsne,1020.0,2.0,1.0,40.0,2
587,Koramangala,Ansna K,1253.0,2.0,1.0,102.0,2
588,other,ARnamru,1180.0,2.0,2.0,42.0,2
589,other,Veyalin,961.0,2.0,2.0,38.0,2
591,Harlur,SomonCi,1709.0,3.0,2.0,150.0,3
596,other,Daill S,1260.0,2.0,2.0,45.0,2
597,other,DSureSi,1630.0,3.0,2.0,85.0,3
598,Sarjapur  Road,Soini T,1249.0,3.0,2.0,44.71,3
599,Kalena Agrahara,MancyRe,1450.0,2.0,3.0,85.0,3
600,other,Prasa W,2791.0,3.0,1.0,223.0,3
602,other,Kaantth,834.0,1.0,1.0,60.0,1
606,Gottigere,Drente ,891.0,2.0,1.0,25.0,2
607,Raja Rajeshwari Nagar,GrrvaGr,1133.0,2.0,1.0,49.07,2
608,Bisuvanahalli,Prityel,1075.0,2.0,1.0,37.0,3
616,Raja Rajeshwari Nagar,SGandea,1090.0,2.0,1.0,42.0,2
620,Hebbal,Mahosya,1920.0,3.0,2.0,134.0,3
621,other,Eline P,1374.0,2.0,2.0,95.0,2
623,Kanakapura,GoityEt,711.0,1.0,1.0,36.0,1
624,Tumkur Road,SosonGa,1500.0,3.0,3.0,95.0,3
625,Whitefield,Gotis A,1720.0,3.0,3.0,100.0,3
628,Mysore Road,PrntaEn,1200.0,2.0,1.0,85.0,2
629,other,NSezeBr,1375.0,3.0,2.0,70.0,3
631,Jalahalli,Tahtsla,2250.0,3.0,2.0,160.0,3
632,Bellandur,Sronda ,1000.0,2.0,2.0,50.0,2
633,other,Prntsax,469.0,1.0,0.0,25.0,1
634,Marathahalli,PueraRi,3800.0,4.0,3.0,250.0,4
635,Kambipura,Prrtht ,883.0,2.0,1.0,29.0,2
636,other,Chnts A,1820.0,2.0,3.0,86.0,3
639,Malleshwaram,GaityEt,2500.0,5.0,2.0,325.0,4
643,other,ShshaSa,750.0,1.0,2.0,40.0,1
649,Hosakerehalli,Taonte ,2378.0,3.0,1.0,262.0,3
650,Sarjapur,Ahownve,1128.0,2.0,1.0,60.0,2
651,Hebbal,Cevely ,1500.0,3.0,1.0,150.0,3
654,Kanakpura Road,PrarePa,1100.0,2.0,1.0,58.0,3
655,Bommasandra,Vaodspe,1200.0,3.0,2.0,46.0,3
657,other,DSldsen,1641.0,3.0,2.0,66.0,3
659,Raja Rajeshwari Nagar,NaonySy,1260.0,2.0,1.0,67.39,2
661,Yelahanka,Rarthne,1132.5,2.0,0.0,48.13,2
662,Yelahanka,Pyikad ,1210.0,2.0,1.0,45.98,2
664,Bisuvanahalli,Prityel,1075.0,2.0,1.0,45.0,3
665,Thanisandra,Soitya ,1702.0,3.0,2.0,130.0,3
666,other,Malex C,1630.0,2.0,2.0,200.0,2
667,Raja Rajeshwari Nagar,GrrvaGr,1141.0,2.0,2.0,38.55,2
672,other,Toainnt,4046.0,4.0,0.0,445.0,4
683,other,RMcesa ,1875.0,3.0,2.0,165.0,3
685,Brookefield,Krreera,1200.0,3.0,2.0,140.0,3
686,Whitefield,PaantPl,1140.0,2.0,1.0,56.0,2
687,Lingadheeranahalli,Soiewre,1683.0,3.0,1.0,109.0,3
689,Hoodi,Caycend,2118.0,4.0,2.0,111.0,4
693,other,Sohea A,2300.0,3.0,3.0,120.0,3
694,other,MSvelek,1240.0,2.0,2.0,60.0,2
695,other,VDdonel,1750.0,3.0,1.0,120.0,3
698,Abbigere,SLtias ,985.0,2.0,1.0,40.39,2
699,other,Hentye ,1500.0,2.0,1.0,87.0,3
701,other,SMikaay,950.0,2.0,1.0,44.0,2
705,Electronic City Phase II,Sryalan,1090.0,2.0,1.0,28.34,2
708,Kammasandra,Prony S,810.0,2.0,2.0,24.5,2
709,other,PaisePa,1045.0,2.0,0.0,45.0,2
710,Hebbal,Arcia S,1337.0,2.0,1.0,82.0,2
712,Koramangala,TealeRo,1580.0,3.0,2.0,160.0,3
713,Begur Road,Dhalsh ,1500.0,2.0,3.0,54.0,3
714,Whitefield,Umods W,1640.0,4.0,2.0,91.0,3
715,other,SSarlPe,1570.0,3.0,2.0,62.0,3
716,Gubbalala,MauilTr,1470.0,2.0,2.0,82.0,3
718,7th Phase JP Nagar,Brnia G,1050.0,2.0,1.0,71.0,2
719,other,Soeurri,1855.0,3.0,1.0,225.0,3
720,Bannerghatta Road,SNity S,1460.0,2.0,1.0,90.0,3
722,Electronic City,Daives ,1094.0,2.0,2.0,42.0,2
